# X@Y should be interpreted as X requests in Y MBps configuration
# A/B should be interpreted as A successful requests amongst B completed requests
Max completed reqs
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
go-server,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
nodejs-express-javascript,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
nodejs-javascript,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
ktor-kotlin,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
micronaut-kotlin,500/500,2500/2500,5000/5000,7500/7500,10000/10973,500/500,2500/2500,5000/5000,7500/7500,10000/10935,500/500,2500/2500,4000/4488,7500/7500,*2500/12230
ratpack-kotlin,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
vertx-kotlin,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
phoenix_elixir,500/500,2500/2500,4989/5000,7426/7500,12356/12500,500/500,2500/2500,4941/5000,7339/7500,11895/12500,500/500,2495/2500,4860/5000,7112/7500,11603/12500
trot_elixir,500/500,2500/2500,5000/5000,7500/7500,12461/12500,500/500,2500/2500,4983/5000,7476/7500,12237/12500,500/500,2500/2500,4959/5000,7365/7500,12283/12500
flask+uwsgi-python3,500/500,2500/2500,5000/5000,7500/7500,11331/12500,500/500,2500/2500,5000/5000,7491/7500,11892/12500,500/500,2500/2500,5000/5000,7385/7500,11588/12500
tornado-python3,500/500,2500/2500,5000/5000,7500/7500,10000/11951,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,10000/12059
cowboy-erlang,500/500,2500/2500,5000/5000,7413/7500,8918/12403,500/500,2500/2500,4925/5000,7127/7500,11539/12500,500/500,2497/2500,4705/5000,7211/7500,11891/12500

Min completed reqs
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,500/500,2500/2500,5000/5000,7500/7500,10000/12463,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
go-server,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,10000/12490,500/500,2500/2500,5000/5000,7500/7500,10000/12461
nodejs-express-javascript,500/500,2500/2500,4000/4915,4500/7045,7500/10309,500/500,2500/2500,3000/4498,3000/6462,0/6473,500/500,2500/2500,3000/4566,6000/7076,10000/11988
nodejs-javascript,500/500,2500/2500,4000/4844,3000/6688,10000/11762,500/500,2500/2500,5000/5000,7500/7500,10000/11204,500/500,2500/2500,4000/4578,7500/7500,7500/11407
ktor-kotlin,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
micronaut-kotlin,500/500,2500/2500,2000/3579,4500/5566,5000/6483,500/500,2500/2500,0/1949,3000/4372,5000/5664,500/500,2500/2500,4000/4089,4500/5126,*5000/6812
ratpack-kotlin,500/500,2500/2500,5000/5000,6000/7072,7500/9229,500/500,2000/2451,4000/4649,7500/7500,10000/10633,500/500,2500/2500,4000/4619,6000/6989,2500/5312
vertx-kotlin,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500,500/500,2500/2500,5000/5000,7500/7500,12500/12500
phoenix_elixir,500/500,2500/2500,4913/5000,5837/7464,12026/12500,500/500,2384/2500,3898/4968,5903/7134,9667/12114,500/500,2369/2500,3804/4577,4266/6692,7074/10658
trot_elixir,500/500,2500/2500,4996/5000,7467/7500,12352/12500,500/500,2492/2500,4866/5000,7239/7500,9818/12002,500/500,2364/2500,4753/5000,4218/7136,12028/12500
flask+uwsgi-python3,500/500,2500/2500,4996/5000,7288/7500,7276/12500,500/500,2500/2500,5000/5000,6085/7500,8497/12500,500/500,2448/2500,4959/5000,6858/7500,9213/12500
tornado-python3,500/500,2500/2500,4000/4683,6000/7308,2500/8095,500/500,2500/2500,3000/4570,4500/6421,2500/6684,500/500,2500/2500,4000/4967,6000/6256,5000/10002
cowboy-erlang,500/500,2500/2500,4944/5000,2796/7340,9380/11843,0/0,2414/2500,3859/4869,6711/7500,4477/11622,498/500,1983/2436,3681/4879,6882/7500,7057/11062
