# X@Y should be interpreted as X requests in Y MBps configuration
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,0/0,0/0,0/0,0/0,0/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
go-server,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/1
nodejs-express-javascript,0/0,0/0,0/1,0/2,0/2,0/0,0/0,0/3,0/3,0/5,0/0,0/0,0/2,0/1,0/1
nodejs-javascript,0/0,0/0,0/1,0/3,0/1,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/1,0/0,0/2
ktor-kotlin,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
micronaut-kotlin,0/0,0/0,0/3,0/3,1/3,0/0,0/0,0/5,0/3,1/3,0/0,0/0,1/1,0/2,*1/4
ratpack-kotlin,0/0,0/0,0/0,0/1,0/2,0/0,0/1,0/1,0/0,0/2,0/0,0/0,0/1,0/1,0/4
vertx-kotlin,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
phoenix_elixir,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/1,0/1,0/1,0/0,0/0,0/2,0/2,0/2
trot_elixir,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/2,0/0
flask+uwsgi-python3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
tornado-python3,0/0,0/0,0/1,0/1,1/4,0/0,0/0,0/2,0/2,0/5,0/0,0/0,0/1,0/2,1/3
cowboy-erlang,0/0,0/0,0/0,0/3,1/1,0/5,0/0,0/1,0/0,0/3,0/0,0/1,0/1,0/0,0/2
