# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Failed Nodes
# actix-rust
100,444,1.073,1.250,1.175,1.626,614.980,817.658,850.850,931.630,0/0
100,1333,2.884,5.177,3.833,11.843,84.440,248.286,260.900,346.760,0/0
100,2222,6.089,7.991,8.508,8.684,115.150,127.398,117.530,164.240,0/0
500,88,0.742,1.724,0.998,2.956,338.280,810.406,1002.160,1347.900,0/0
500,266,1.026,1.740,1.349,2.980,335.600,676.412,741.500,974.770,0/0
500,444,0.872,1.877,1.455,3.102,322.390,712.424,687.500,1146.260,0/0
1000,44,0.858,1.291,0.874,2.437,410.400,915.386,1144.270,1165.610,0/0
1000,133,1.869,2.635,1.928,3.908,255.890,424.372,518.640,535.140,0/0
1000,222,0.425,1.304,1.746,1.863,536.760,1084.652,572.690,2351.800,0/0
1500,29,1.227,2.309,1.546,5.209,191.960,564.514,646.750,814.920,0/0
1500,88,1.636,1.904,1.743,2.513,397.940,537.900,573.700,611.320,0/0
1500,148,1.484,1.727,1.673,2.036,491.250,589.532,597.560,673.760,0/0
2500,17,1.437,1.563,1.499,1.881,531.550,646.090,667.050,695.840,0/2
2500,53,1.491,1.572,1.587,1.650,605.900,637.044,630.110,670.620,0/0
2500,88,1.504,1.902,1.596,3.203,312.250,570.116,626.430,664.910,0/0


# go-server
100,444,1.757,2.204,2.106,2.975,336.150,471.414,474.760,569.280,0/0
100,1333,4.475,7.952,4.574,13.096,76.360,163.052,218.620,223.440,0/0
100,2222,7.666,10.648,7.897,14.978,66.770,103.896,126.630,130.440,0/0
500,88,1.189,1.448,1.376,1.831,546.150,704.560,726.590,841.190,0/0
500,266,0.719,1.682,1.571,2.644,378.230,714.596,636.720,1390.430,0/0
500,444,1.501,2.078,1.679,2.867,348.740,516.542,595.610,666.410,0/0
1000,44,1.142,1.468,1.256,2.422,412.960,734.478,796.280,875.370,0/0
1000,133,0.864,1.636,1.655,2.193,456.000,686.598,604.190,1157.450,0/0
1000,222,1.856,1.961,1.995,2.041,490.000,510.600,501.370,538.660,0/0
1500,29,1.484,3.461,1.969,6.079,164.510,407.326,507.790,673.830,0/0
1500,88,0.592,2.516,1.417,7.736,129.270,787.552,705.710,1689.690,0/0
1500,148,0.599,1.469,2.004,2.049,487.960,927.318,499.070,1670.420,0/0
2500,17,1.343,5.339,1.914,18.064,55.360,428.074,522.440,744.640,0/0
2500,53,1.454,1.772,1.726,2.261,442.270,579.238,579.470,687.690,0/1
2500,88,0.645,1.945,1.744,3.714,269.250,705.498,573.350,1550.720,0/1


# nodejs-express-javascript
100,444,7.370,11.227,9.040,16.176,61.820,101.092,110.620,135.690,0/0
100,1333,9.756,17.849,17.409,25.499,39.220,65.686,57.440,102.500,0/0
100,2222,12.207,27.297,20.389,43.528,22.970,45.612,49.050,81.920,0/0
500,88,6.696,12.323,7.652,19.956,50.110,103.044,130.680,149.340,0/0
500,266,4.325,12.297,9.784,20.344,49.150,114.416,102.210,231.240,0/0
500,444,9.526,11.416,11.468,13.750,72.730,88.830,87.200,104.980,0/0
1000,44,6.940,7.951,7.867,9.655,103.570,127.674,127.110,144.090,0/1
1000,133,5.027,10.282,9.318,14.955,66.870,115.004,107.320,198.930,0/3
1000,222,9.739,14.427,14.986,18.607,53.740,72.540,66.730,102.680,0/2
1500,29,9.171,10.269,10.510,10.872,91.980,97.738,95.150,109.030,0/2
1500,88,7.289,9.849,9.318,12.456,80.280,105.242,107.320,137.200,0/3
1500,148,10.754,13.747,11.162,22.157,45.130,78.396,89.590,92.990,0/1
2500,17,5.601,8.283,8.857,9.364,106.800,125.134,112.910,178.540,0/2
2500,53,4.634,8.483,8.088,11.809,84.680,133.256,123.640,215.800,0/5
2500,88,5.900,7.765,6.776,12.543,79.720,139.180,147.580,169.500,0/1


# nodejs-javascript
100,444,6.598,10.909,8.716,15.763,63.440,103.470,114.730,151.550,0/0
100,1333,5.148,17.607,17.115,35.886,27.870,83.946,58.430,194.230,0/0
100,2222,6.955,20.755,21.633,37.182,26.890,66.076,46.220,143.790,0/0
500,88,7.528,8.526,7.929,9.750,102.570,118.682,126.120,132.830,0/0
500,266,7.484,10.257,10.056,15.276,65.460,104.076,99.440,133.610,0/0
500,444,9.929,17.007,13.224,24.712,40.470,66.840,75.620,100.720,0/0
1000,44,6.754,7.165,7.040,8.079,123.770,140.130,142.040,148.070,0/1
1000,133,2.720,7.408,7.992,10.728,93.210,168.680,125.130,367.700,0/0
1000,222,9.296,10.568,10.505,11.685,85.580,95.422,95.190,107.580,0/1
1500,29,7.828,9.370,9.648,10.540,94.870,108.140,103.650,127.740,0/3
1500,88,4.039,5.944,6.297,6.613,151.220,174.180,158.790,247.610,0/0
1500,148,6.631,8.599,7.384,11.324,88.310,122.048,135.420,150.800,0/0
2500,17,5.001,6.840,6.134,11.011,90.820,158.424,163.010,199.970,0/1
2500,53,5.814,8.542,6.137,12.496,80.030,133.012,162.950,172.000,0/1
2500,88,6.346,8.913,6.950,16.396,60.990,126.804,143.890,157.590,0/2


# ktor-kotlin
100,444,11.049,20.579,20.361,26.338,37.970,53.532,49.110,90.510,0/0
100,1333,21.382,37.817,35.710,50.062,19.980,28.936,28.000,46.770,0/0
100,2222,38.256,57.484,50.649,76.146,13.130,18.598,19.740,26.140,0/0
500,88,7.862,11.470,12.544,13.142,76.090,90.372,79.720,127.200,0/0
500,266,13.121,16.997,17.244,19.126,52.290,59.858,57.990,76.210,0/0
500,444,16.670,20.579,20.676,24.179,41.360,49.282,48.360,59.990,0/0
1000,44,7.014,8.976,9.188,9.805,101.990,113.126,108.840,142.570,0/0
1000,133,11.316,11.786,11.748,12.265,81.530,84.904,85.120,88.370,0/0
1000,222,12.555,13.535,13.502,14.604,68.470,74.196,74.060,79.650,0/0
1500,29,7.903,7.987,7.920,8.204,121.900,125.238,126.270,126.540,0/0
1500,88,8.462,9.242,9.575,10.029,99.710,108.698,104.440,118.180,0/0
1500,148,10.965,11.360,11.179,11.857,84.340,88.120,89.450,91.200,0/0
2500,17,7.158,9.275,7.231,12.429,80.460,115.754,138.290,139.700,0/0
2500,53,6.957,7.774,7.714,8.251,121.200,129.134,129.630,143.750,0/0
2500,88,8.417,10.864,9.168,18.415,54.300,100.128,109.070,118.810,0/0


# micronaut-kotlin
100,444,24.203,29.619,29.933,37.080,26.970,34.450,33.410,41.320,0/0
100,1333,60.024,68.406,70.020,72.663,13.760,14.690,14.280,16.660,0/0
100,2222,103.918,107.848,106.814,110.927,9.010,9.276,9.360,9.620,0/0
500,88,14.502,18.207,16.695,24.855,40.230,57.004,59.900,68.960,0/0
500,266,21.232,25.017,21.543,38.006,26.310,42.052,46.420,47.100,0/0
500,444,26.701,30.085,28.278,38.959,25.670,33.858,35.360,37.450,0/0
1000,44,14.036,15.468,14.756,18.724,53.410,65.322,67.770,71.250,0/3
1000,133,17.398,22.978,17.900,31.138,32.120,47.006,55.860,57.480,0/5
1000,222,20.811,22.876,21.101,28.491,35.100,44.483,47.390,48.050,1/1
1500,29,12.545,16.016,15.338,21.375,46.780,64.296,65.200,79.710,0/3
1500,88,14.956,20.956,21.325,23.914,41.820,49.094,46.890,66.860,0/3
1500,148,18.747,22.455,20.720,31.214,32.040,45.964,48.260,53.340,0/2
2500,17,9.594,11.747,12.325,12.744,78.470,86.240,81.130,104.230,1/3
