# X@Y should be interpreted as X requests in Y MBps configuration
Impl,100@2,500@2,1000@2,1500@2,3000@2,100@10,500@10,1000@10,1500@10,3000@10,100@20,500@20,1000@20,1500@20,3000@20
actix-rust,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2693
go-server,0,0,0,0,14889,0,0,0,0,11314,0,0,0,0,0
nodejs-express-javascript,0,0,0,0,15336,0,0,6947,21003,23259,0,0,7310,23,42967
nodejs-javascript,0,0,0,0,100,0,0,0,0,831,179,0,0,6909,21632
ktor-kotlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micronaut-kotlin,0,1520,0,0,13632,0,0,0,0,11565,0,0,987,1186,31407
ratpack-kotlin,0,0,0,0,13379,0,0,0,0,5822,0,0,0,0,21440
vertx-kotlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20778
phoenix_elixir,0,182,1019,1875,7868,0,2075,1784,12759,35137,0,3886,12470,18076,37317
trot_elixir,0,162,541,952,8791,1,393,1071,1842,36443,0,4438,7281,7334,37566
cyclone-python,0,3972,13048,23540,56208,0,8655,12685,20115,67905,254,6133,18108,24590,56302
flask+uwsgi-python3,0,3146,10969,19117,44880,1,6460,11119,22772,55601,10,8182,17513,20160,53301
tornado-python3,0,0,12,4101,42358,0,0,0,15476,36142,0,2,3178,11483,40322
yaws-erlang,0,0,517,106,3700,1086,3060,3378,6489,31491,1132,4161,10683,16917,48942
cowboy-erlang,0,322,679,1459,4337,0,4769,3749,7532,21145,2065,6537,12634,15472,52167
