# X@Y should be interpreted as X requests in Y MBps configuration
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
go-server,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
nodejs-express-javascript,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
nodejs-javascript,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
ktor-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
micronaut-kotlin,500,2500,5000,7500,11604,500,2500,5000,7500,11302,500,2500,4917,7500,12254
ratpack-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
vertx-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
phoenix_elixir,500,2500,4992,7437,12359,500,2500,4959,7370,11992,500,2499,4886,7170,11672
trot_elixir,500,2500,5000,7500,12474,500,2500,4998,7500,12368,500,2500,4997,7454,12310
flask+uwsgi-python3,500,2500,5000,7500,11348,500,2500,5000,7491,11973,500,2500,5000,7432,11634
tornado-python3,500,2500,5000,7500,12000,500,2500,5000,7500,12500,500,2500,5000,7500,12306
cowboy-erlang,500,2500,5000,7420,11519,500,2500,4947,7218,11655,500,2500,4735,7233,12027
