# X@Y should be interpreted as X requests in Y MBps configuration
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,500,2500,5000,7500,12484,500,2500,5000,7500,12500,500,2500,5000,7500,12500
go-server,500,2500,5000,7500,12500,500,2500,5000,7500,12497,500,2500,5000,7500,12499
nodejs-express-javascript,500,2500,4980,7145,10522,500,2500,4593,6699,7142,500,2500,4655,7148,12040
nodejs-javascript,500,2500,4959,6927,11805,500,2500,5000,7500,11562,500,2500,4715,7500,11913
ktor-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
micronaut-kotlin,500,2500,4247,6406,8864,500,2500,3667,5409,6499,500,2500,4472,5841,7942
ratpack-kotlin,500,2500,5000,7335,11107,500,2497,4726,7500,11466,500,2500,4789,7101,7669
vertx-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
phoenix_elixir,500,2500,4913,7298,12049,500,2386,4841,7150,11656,500,2387,4389,6466,10236
trot_elixir,500,2500,5000,7472,12392,500,2493,4875,7261,11915,500,2426,4785,7137,12049
flask+uwsgi-python3,500,2500,4996,7289,7595,500,2500,5000,6135,8592,500,2448,4959,6858,9322
tornado-python3,500,2500,4789,7355,9013,500,2500,4858,6701,7522,500,2500,4985,6529,10244
cowboy-erlang,500,2500,4944,6644,11222,500,2436,4581,6756,10931,500,2252,4587,6894,10748
