# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Serviced Requests
# actix-rust
100,444,0.504,0.970,0.546,32.095,31.158,1031.000,1829.826,1984.127,500
100,1333,1.488,2.481,1.622,13.273,75.341,403.026,616.713,672.043,500
100,2222,2.480,3.542,2.610,26.727,37.415,282.300,383.142,403.226,500
500,88,0.111,0.162,0.125,5.210,191.939,6178.499,8000.000,9009.009,2500
500,266,0.309,0.436,0.336,20.848,47.966,2291.608,2976.190,3236.246,2500
500,444,0.503,0.703,0.538,19.462,51.382,1423.257,1858.736,1988.072,2500
1000,44,0.062,0.095,0.073,10.134,98.678,10528.821,13698.630,16129.032,5000
1000,133,0.161,0.210,0.181,9.082,110.108,4766.312,5524.862,6211.180,5000
1000,222,0.259,0.361,0.283,9.520,105.042,2768.511,3533.569,3861.004,5000
1500,29,0.045,0.070,0.055,5.527,180.930,14260.941,18181.818,22222.222,7500
1500,88,0.112,0.143,0.126,2.438,410.172,7008.861,7936.508,8928.571,7500
1500,148,0.178,0.224,0.197,6.194,161.447,4454.687,5076.142,5617.978,7500
2500,17,0.030,0.048,0.040,3.794,263.574,20640.687,25000.000,33333.333,12500
2500,53,0.073,0.097,0.085,2.845,351.494,10332.312,11764.706,13698.630,12500
2500,88,0.111,0.145,0.126,4.572,218.723,6889.991,7936.508,9009.009,12500


# go-server
100,444,1.138,12.657,2.413,188.007,5.319,79.005,414.508,878.735,500
100,1333,3.547,67.861,40.661,325.575,3.071,14.736,24.594,281.928,500
100,2222,5.930,205.141,137.520,831.563,1.203,4.875,7.272,168.634,500
500,88,0.225,2.975,0.252,70.663,14.152,336.122,3968.254,4444.444,2500
500,266,0.690,62.622,0.814,714.109,1.400,15.969,1228.501,1449.275,2500
500,444,1.152,79.478,3.798,1033.164,0.968,12.582,263.262,868.056,2500
1000,44,0.119,0.354,0.133,47.235,21.171,2822.148,7518.797,8403.361,5000
1000,133,0.333,7.614,0.378,211.446,4.729,131.340,2645.503,3003.003,5000
1000,222,0.550,15.396,0.631,416.942,2.398,64.952,1584.786,1818.182,5000
1500,29,0.084,0.179,0.094,46.939,21.304,5576.805,10638.298,11904.762,7500
1500,88,0.224,1.873,0.249,192.927,5.183,533.908,4016.064,4464.286,7500
1500,148,0.372,4.478,0.417,282.142,3.544,223.326,2398.082,2688.172,7500
2500,17,0.054,0.583,0.063,48.376,20.671,1714.839,15873.016,18518.519,12500
2500,53,0.141,1.137,0.157,173.909,5.750,879.147,6369.427,7092.199,12500
2500,88,0.224,3.992,0.250,264.394,3.782,250.496,4000.000,4464.286,12500


# nodejs-express-javascript
100,444,1.118,1.432,1.240,13.802,72.453,698.450,806.452,894.454,500
100,1333,2.571,3.014,2.704,12.696,78.765,331.759,369.891,388.954,500
100,2222,3.977,4.525,4.159,16.498,60.613,220.981,240.414,251.446,500
500,88,0.440,0.597,0.523,16.300,61.350,1674.679,1912.046,2272.727,2500
500,266,0.747,0.908,0.820,12.756,78.394,1101.315,1219.512,1338.688,2500
500,444,1.044,1.223,1.119,22.457,44.530,817.401,893.655,957.854,2500
1000,44,0.273,0.426,0.378,26.796,37.319,2347.159,2645.503,3663.004,5000
1000,133,0.478,0.633,0.564,30.238,33.071,1579.618,1773.050,2092.050,5000
1000,222,0.649,0.845,0.742,24.479,40.851,1182.945,1347.709,1540.832,5000
1500,29,0.239,0.359,0.323,16.965,58.945,2781.752,3095.975,4184.100,7500
1500,88,0.344,0.526,0.464,27.056,36.960,1902.500,2155.172,2906.977,7500
1500,148,0.458,0.655,0.568,23.266,42.981,1525.915,1760.563,2183.406,7500
2500,17,0.205,0.298,0.239,22.085,45.280,3354.120,4184.100,4878.049,12500
2500,53,0.282,0.393,0.329,23.084,43.320,2546.462,3039.514,3546.099,12500
2500,88,0.333,0.442,0.363,28.357,35.265,2260.739,2754.821,3003.003,12500


# nodejs-javascript
100,444,1.190,1.456,1.252,12.512,79.923,686.896,799.041,840.336,500
100,1333,2.642,3.185,2.865,13.906,71.911,314.005,349.101,378.501,500
100,2222,4.035,4.593,4.244,31.359,31.889,217.718,235.627,247.831,500
500,88,0.461,0.710,0.591,13.257,75.432,1407.626,1692.047,2169.197,2500
500,266,0.744,1.028,0.912,10.953,91.299,973.000,1096.491,1344.086,2500
500,444,1.133,1.449,1.291,23.692,42.208,690.107,774.593,882.613,2500
1000,44,0.287,0.444,0.387,21.528,46.451,2250.241,2583.979,3484.321,5000
1000,133,0.441,0.608,0.542,16.956,58.976,1644.751,1845.018,2267.574,5000
1000,222,0.603,0.875,0.825,21.212,47.143,1143.243,1212.121,1658.375,5000
1500,29,0.259,0.382,0.328,29.601,33.783,2615.589,3048.780,3861.004,7500
1500,88,0.337,0.503,0.439,14.254,70.156,1986.865,2277.904,2967.359,7500
1500,148,0.473,0.613,0.549,16.368,61.095,1631.066,1821.494,2114.165,7500
2500,17,0.188,0.302,0.253,15.008,66.631,3310.273,3952.569,5319.149,12500
2500,53,0.254,0.378,0.327,20.154,49.618,2645.233,3058.104,3937.008,12500
2500,88,0.316,0.494,0.448,46.363,21.569,2022.819,2232.143,3164.557,12500


# ktor-kotlin
100,444,7.579,17.963,10.491,93.902,10.649,55.669,95.320,131.944,500
100,1333,21.595,37.614,33.791,140.829,7.101,26.586,29.593,46.307,500
100,2222,34.851,56.205,50.410,189.858,5.267,17.792,19.838,28.694,500
500,88,1.585,5.323,2.455,342.682,2.918,187.877,407.415,630.915,2500
500,266,4.348,12.394,5.831,319.646,3.128,80.686,171.497,229.991,2500
500,444,7.495,16.291,9.959,359.318,2.783,61.383,100.412,133.422,2500
1000,44,0.796,3.030,1.308,440.047,2.272,329.999,764.818,1256.281,5000
1000,133,2.151,7.020,3.198,463.988,2.155,142.454,312.695,464.900,5000
1000,222,3.539,9.445,4.835,528.659,1.892,105.879,206.825,282.566,5000
1500,29,0.579,2.667,0.943,785.470,1.273,374.977,1060.445,1727.116,7500
1500,88,1.478,4.699,1.942,772.217,1.295,212.793,514.801,676.590,7500
1500,148,2.378,6.527,3.129,902.471,1.108,153.218,319.591,420.521,7500
2500,17,0.398,1.802,0.736,1091.144,0.916,555.003,1358.696,2512.563,12500
2500,53,0.939,3.433,1.327,1035.065,0.966,291.273,753.580,1064.963,12500
2500,88,1.475,4.907,1.929,1340.780,0.746,203.796,518.403,677.966,12500


# micronaut-kotlin
100,444,7.240,51.120,13.448,508.623,1.966,19.562,74.358,138.122,500
100,1333,21.474,371.132,292.536,1618.169,0.618,2.694,3.418,46.568,500
100,2222,35.589,873.244,841.998,2478.185,0.404,1.145,1.188,28.099,500
500,88,1.421,4.577,1.933,258.949,3.862,218.472,517.464,703.730,2500
500,266,4.267,16.432,4.829,363.962,2.748,60.855,207.061,234.357,2500
500,444,7.086,39.929,12.172,572.093,1.748,25.045,82.152,141.123,2500
1000,44,0.780,2.423,1.204,363.494,2.751,412.749,830.565,1282.051,5000
1000,133,2.210,9.623,2.752,399.748,2.502,103.918,363.372,452.489,5000
1000,222,3.634,19.572,6.795,418.923,2.387,51.094,147.167,275.179,4917
1500,29,0.546,1.848,0.912,288.049,3.472,541.256,1096.491,1831.502,7500
1500,88,1.468,6.335,1.957,441.029,2.267,157.861,510.986,681.199,7500
1500,148,2.449,14.173,5.386,608.847,1.642,70.558,185.667,408.330,7500
2500,17,0.340,1.166,0.619,385.997,2.591,857.524,1615.509,2941.176,11604
2500,53,0.907,2.932,1.236,696.419,1.436,341.007,809.061,1102.536,11302
2500,88,1.522,6.083,2.015,674.313,1.483,164.390,496.278,657.030,12254


# ratpack-kotlin
