# X@Y denotes X requests in Y MBps configuration
# A/B/C/D/U should be read as requests failed with A checkout_timeout errors, B connect_timeout errors, C timeout errors, D closed errors, and E unknown errors.
Max failed reqs
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,,,,,,,,,,,,,,,
go-server,,,,,,,,,,,,,,,
nodejs-express-javascript,,,,,,,,,,450/0/0/0/0,,,,,
nodejs-javascript,,,,,,,,,,,,,,,
ktor-kotlin,,,,,,,,,,,,,,,*1451/0/0/0/0
micronaut-kotlin,,,,*1169/0/0/0/0,*1279/0/0/0/0,,,,0/0/0/0/4,*0/0/0/0/1029,,,34/0/0/0/0,,*2294/0/2/0/33
ratpack-kotlin,,,,,603/0/0/0/0,,,,,0/0/0/0/82,,,,261/0/0/0/0,
vertx-kotlin,,,,,,,,,,,,,,,
phoenix_elixir,,,,,,,,,,,,,,,
trot_elixir,,,,,,,,,,,,,,,
flask+uwsgi-python3,*0/0/0/25/0,*0/0/0/452/0,*0/0/0/475/0,*0/0/0/0/1444,*237/0/4/2332/2,,*0/0/0/226/0,*0/0/0/475/499,*0/0/0/725/3,*0/0/0/0/1645,*0/0/0/50/0,*0/0/0/225/249,*0/0/0/475/100,*0/0/0/0/1496,*0/0/0/0/2176
tornado-python3,,,,284/0/0/0/0,*1826/0/0/0/0,,,,,*0/0/0/0/1129,,,,,0/0/0/0/342
cowboy-erlang,,,,*622/0/0/0/0,,,,,0/0/0/0/9,*761/0/19/0/0,0/0/16/0/0,,,0/0/0/0/11,*4354/50/0/0/22

Min failed reqs
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,,,,,,,,,,,,,,,
go-server,,,,,,,,,,,,,,,
nodejs-express-javascript,,,,0/0/0/0/210,*3303/50/0/0/0,,,*733/0/0/0/0,*420/0/0/0/0,*797/0/0/0/2293,,,*546/0/0/0/0,*1000/0/0/0/0,*5694/0/0/0/0
nodejs-javascript,,,,,501/0/0/0/0,,,,,135/0/0/0/0,,,,*1450/50/0/0/0,
ktor-kotlin,,,,,*2400/0/68/0/4,,,*470/0/1/0/0,*1631/0/0/0/0,*4755/0/12/0/0,,*184/0/0/0/0,*888/0/13/0/0,*2800/0/48/0/0,*4475/0/88/0/0
micronaut-kotlin,,,111/0/0/0/0,*2766/0/2/0/0,*4527/0/1/0/174,*0/0/39/0/0,*388/0/39/0/0,*2379/0/0/0/0,*1451/0/0/0/0,*6176/0/43/0/0,*0/0/163/0/0,*675/0/6/0/0,*1983/0/0/0/0,*2849/0/97/0/40,*6707/0/0/0/0
ratpack-kotlin,,,*581/0/0/0/0,*1418/0/0/0/60,*4358/0/0/0/0,,,*718/0/5/0/0,*2668/0/0/0/0,*2563/0/0/0/0,,*187/0/0/0/0,*1349/0/0/0/0,*2128/0/0/0/0,*4618/0/1/0/41
vertx-kotlin,,,,,,,,,,26/0/0/0/0,0/0/20/0/0,,,269/0/0/0/0,*2233/0/0/0/0
phoenix_elixir,,,,,,,,,,0/0/0/0/134,,,,,0/0/0/0/46
trot_elixir,,,,,,,,,,,,,,,
flask+uwsgi-python3,*0/0/0/79/0,*0/0/0/226/747,*0/0/0/953/499,*0/0/0/732/1497,*0/0/0/2450/2497,*0/0/0/25/146,*0/0/0/226/746,*0/0/0/1430/998,*0/0/0/0/1637,*0/0/2/2454/2498,*0/0/0/50/97,*0/0/0/0/746,*0/0/0/1425/998,*0/0/0/0/2995,*0/0/0/2455/2497
tornado-python3,,,*400/0/0/0/0,*2506/0/0/0/0,*6885/0/9/0/0,,,*800/0/0/0/0,*2201/0/0/0/0,*6130/0/0/0/0,,,*740/0/0/0/0,*1025/0/0/0/10,*7360/0/0/0/0
cowboy-erlang,,,*1900/100/0/0/0,*1450/50/0/0/2198,*0/0/0/0/5704,,,*504/0/50/0/2,*1450/50/0/0/583,*4900/100/0/0/3945,*0/0/122/0/0,,0/0/0/0/14,*2397/0/52/0/0,*6605/50/0/0/0
