# Service Impl,Client Impl, Num Reqs, Num Nums, Min Time/Succ Req (ms), Median Time/Succ Req (ms), Max Time/Succ Req (ms), Min Time/Fail Req (ms), Median Time/Fail Req (ms), Max Time/Fail Req (ms), Min Time/Req (ms),  Median Time/Req (ms), Max Time/Req (ms)

actix-rust,go-client,100,444,3.466,30.219,107.751,0.000,0.000,0.000,3.466,30.219,107.751
actix-rust,go-client,100,1333,6.211,59.754,159.634,0.000,0.000,0.000,6.211,59.754,159.634
actix-rust,go-client,100,2222,7.520,107.623,282.833,0.000,0.000,0.000,7.520,107.623,282.833
actix-rust,go-client,500,88,33.596,114.755,1223.105,0.000,0.000,0.000,33.596,114.755,1223.105
actix-rust,go-client,500,266,7.107,158.022,1222.094,0.000,0.000,0.000,7.107,158.022,1222.094
actix-rust,go-client,500,444,20.572,153.448,1234.599,0.000,0.000,0.000,20.572,153.448,1234.599
actix-rust,go-client,1000,44,13.295,239.072,1398.732,0.000,0.000,0.000,13.295,239.072,1398.732
actix-rust,go-client,1000,133,3.854,283.789,1345.155,0.000,0.000,0.000,3.854,283.789,1345.155
actix-rust,go-client,1000,222,4.923,295.114,1398.639,0.000,0.000,0.000,4.923,295.114,1398.639
actix-rust,go-client,1500,29,3.739,369.288,3618.731,0.000,0.000,0.000,3.739,369.288,3618.731
actix-rust,go-client,1500,88,32.125,405.861,3543.814,0.000,0.000,0.000,32.125,405.861,3543.814
actix-rust,go-client,1500,148,20.106,438.005,3622.595,0.000,0.000,0.000,20.106,438.005,3622.595
actix-rust,go-client,2500,17,79.611,553.581,3312.393,0.000,0.000,0.000,79.611,553.581,3312.393
actix-rust,go-client,2500,53,112.924,700.449,3536.369,0.000,0.000,0.000,112.924,700.449,3536.369
actix-rust,go-client,2500,88,89.303,632.337,4427.495,0.000,0.000,0.000,89.303,632.337,4427.495


actix-rust,httpoison_elixir,100,444,234.233,270.745,315.866,0.000,0.000,0.000,234.233,270.745,315.866
actix-rust,httpoison_elixir,100,1333,233.751,295.815,368.602,0.000,0.000,0.000,233.751,295.815,368.602
actix-rust,httpoison_elixir,100,2222,235.584,349.678,435.996,0.000,0.000,0.000,235.584,349.678,435.996
actix-rust,httpoison_elixir,500,88,313.403,408.226,522.389,0.000,0.000,0.000,313.403,408.226,522.389
actix-rust,httpoison_elixir,500,266,300.991,426.276,590.854,0.000,0.000,0.000,300.991,426.276,590.854
actix-rust,httpoison_elixir,500,444,299.570,444.870,625.508,0.000,0.000,0.000,299.570,444.870,625.508
actix-rust,httpoison_elixir,1000,44,401.914,616.534,977.905,0.000,0.000,0.000,401.914,616.534,977.905
actix-rust,httpoison_elixir,1000,133,405.795,603.365,832.456,0.000,0.000,0.000,405.795,603.365,832.456
actix-rust,httpoison_elixir,1000,222,405.620,643.007,911.396,0.000,0.000,0.000,405.620,643.007,911.396
actix-rust,httpoison_elixir,1500,29,510.603,836.920,1208.340,0.000,0.000,0.000,510.603,836.920,1208.340
actix-rust,httpoison_elixir,1500,88,505.648,848.649,2180.219,0.000,0.000,0.000,505.648,848.649,2180.219
actix-rust,httpoison_elixir,1500,148,502.896,846.263,1301.038,0.000,0.000,0.000,502.896,846.263,1301.038
