# X@Y should be interpreted as X requests in Y MBps configuration
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
go-server,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
nodejs-express-javascript,500,2500,5000,7500,12500,500,2500,5000,7500,12050,500,2500,5000,7500,12500
nodejs-javascript,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
ktor-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,11049
micronaut-kotlin,500,2500,5000,6331,11221,500,2500,5000,7496,11471,500,2500,4966,7500,10173
ratpack-kotlin,500,2500,5000,7500,11897,500,2500,5000,7500,12418,500,2500,5000,7239,12500
vertx-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
phoenix_elixir,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
trot_elixir,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
flask+uwsgi-python3,475,2048,4525,6056,9929,500,2274,4026,6772,10855,450,2026,4425,6004,10400
tornado-python3,500,2500,5000,7216,10674,500,2500,5000,7500,11371,500,2500,5000,7500,12158
cowboy-erlang,500,2500,5000,6878,12500,500,2500,5000,7491,11720,487,2500,5000,7489,8074
