# X@Y should be interpreted as X requests in Y MBps configuration
Impl,100@2,500@2,1000@2,1500@2,2500@2,100@6,500@6,1000@6,1500@6,2500@6,100@10,500@10,1000@10,1500@10,2500@10
actix-rust,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
go-server,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
nodejs-express-javascript,500,2500,5000,7290,9147,500,2500,4267,7080,9410,500,2500,4454,6500,6806
nodejs-javascript,500,2500,5000,7500,11999,500,2500,5000,7500,12365,500,2500,5000,6000,12500
ktor-kotlin,500,2500,5000,7500,10096,500,2500,4530,5869,7745,500,2316,4112,4700,8025
micronaut-kotlin,500,2500,4889,4734,7799,500,2112,2621,6049,6324,500,1825,3017,4611,5793
ratpack-kotlin,500,2500,4419,6022,8142,500,2500,4282,4832,9937,500,2313,3651,5372,7841
vertx-kotlin,500,2500,5000,7500,12500,500,2500,5000,7500,12474,500,2500,5000,7231,10267
phoenix_elixir,500,2500,5000,7500,12500,500,2500,5000,7500,12366,500,2500,5000,7500,12454
trot_elixir,500,2500,5000,7500,12500,500,2500,5000,7500,12500,500,2500,5000,7500,12500
flask+uwsgi-python3,421,1527,3548,5271,7553,329,1528,2572,5863,7546,353,1754,2577,4505,7548
tornado-python3,500,2500,4600,4994,5606,500,2500,4200,5299,6370,500,2500,4260,6465,5140
cowboy-erlang,500,2500,3000,3802,6796,500,2500,4444,5417,3555,380,2500,4986,5051,5845
