# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Serviced Requests
# actix-rust
100,444,0.501,1.139,1.050,21.125,47.337,877.638,952.381,1996.008,500
100,1333,1.476,2.750,2.748,16.123,62.023,363.612,363.835,677.507,500
100,2222,2.456,3.986,2.871,15.822,63.203,250.897,348.311,407.166,500
500,88,0.111,0.236,0.239,15.301,65.355,4245.837,4184.100,9009.009,2500
500,266,0.307,0.545,0.448,27.321,36.602,1835.745,2234.637,3257.329,2500
500,444,0.504,0.832,0.728,7.433,134.535,1202.580,1372.684,1984.127,2500
1000,44,0.062,0.097,0.076,8.098,123.487,10328.999,13157.895,16129.032,5000
1000,133,0.164,0.251,0.189,4.687,213.356,3985.928,5291.005,6097.561,5000
1000,222,0.262,0.493,0.529,19.698,50.767,2029.188,1890.359,3816.794,5000
1500,29,0.044,0.100,0.094,3.552,281.532,9970.037,10638.298,22727.273,7500
1500,88,0.110,0.208,0.162,10.613,94.224,4818.159,6172.840,9090.909,7500
1500,148,0.179,0.265,0.205,12.679,78.871,3778.433,4878.049,5586.592,7500
2500,17,0.029,0.060,0.046,51.520,19.410,16613.084,21739.130,34482.759,12500
2500,53,0.074,0.113,0.085,4.742,210.881,8862.992,11764.706,13513.514,12500
2500,88,0.111,0.210,0.174,12.078,82.795,4766.353,5747.126,9009.009,12500


# go-server
100,444,1.239,7.891,2.724,88.879,11.251,126.728,367.107,807.103,500
100,1333,3.392,36.065,9.244,183.667,5.445,27.728,108.178,294.811,500
100,2222,5.998,115.471,94.133,501.719,1.993,8.660,10.623,166.722,500
500,88,0.222,1.077,0.263,35.131,28.465,928.896,3802.281,4504.505,2500
500,266,0.684,4.408,1.046,100.522,9.948,226.873,955.566,1461.988,2500
500,444,1.166,6.892,1.554,160.912,6.215,145.103,643.294,857.633,2500
1000,44,0.118,0.320,0.133,44.743,22.350,3124.980,7518.797,8474.576,5000
1000,133,0.327,2.976,0.379,120.293,8.313,335.982,2638.522,3058.104,5000
1000,222,0.553,10.080,0.623,308.591,3.241,99.208,1605.136,1808.318,5000
1500,29,0.083,0.191,0.099,149.415,6.693,5248.381,10101.010,12048.193,7500
1500,88,0.221,0.431,0.249,23.603,42.367,2320.784,4016.064,4524.887,7500
1500,148,0.362,1.010,0.415,86.560,11.553,989.832,2409.639,2762.431,7500
2500,17,0.054,0.104,0.061,33.361,29.975,9631.625,16393.443,18518.519,12500
2500,53,0.139,2.364,0.164,125.459,7.971,422.988,6097.561,7194.245,12500
2500,88,0.221,7.448,0.258,219.956,4.546,134.271,3875.969,4524.887,12500


# nodejs-express-javascript
100,444,1.090,1.342,1.202,12.263,81.546,745.163,832.293,917.431,500
100,1333,2.713,3.170,2.883,9.741,102.659,315.429,346.921,368.596,500
100,2222,4.242,5.044,4.531,13.153,76.028,198.271,220.702,235.738,500
500,88,0.451,0.568,0.522,13.152,76.034,1761.684,1915.709,2217.295,2500
500,266,0.759,0.979,0.884,17.521,57.074,1021.794,1131.222,1317.523,2500
500,444,1.061,1.252,1.124,20.670,48.379,798.617,889.680,942.507,2500
1000,44,0.265,0.437,0.401,23.294,42.930,2287.377,2493.766,3773.585,5000
1000,133,0.451,0.656,0.585,18.724,53.407,1525.231,1709.402,2217.295,5000
1000,222,0.611,0.808,0.734,15.616,64.037,1237.431,1362.398,1636.661,5000
1500,29,0.220,0.364,0.289,26.074,38.352,2749.388,3460.208,4545.455,7500
1500,88,0.331,0.485,0.450,22.796,43.867,2061.681,2222.222,3021.148,7500
1500,148,0.472,0.652,0.571,31.415,31.832,1532.797,1751.313,2118.644,7500
2500,17,0.210,0.314,0.249,43.012,23.249,3181.657,4016.064,4761.905,12500
2500,53,0.273,0.363,0.318,26.802,37.311,2754.884,3144.654,3663.004,12050
2500,88,0.334,0.453,0.393,27.789,35.985,2205.619,2544.529,2994.012,12500


# nodejs-javascript
100,444,1.175,1.495,1.254,12.303,81.281,669.080,797.448,851.064,500
100,1333,2.637,3.261,2.888,11.410,87.642,306.643,346.320,379.219,500
100,2222,4.113,4.814,4.373,35.767,27.959,207.742,228.676,243.132,500
500,88,0.418,0.591,0.531,5.964,167.673,1690.624,1883.239,2392.344,2500
500,266,0.734,0.910,0.823,12.010,83.264,1098.422,1215.067,1362.398,2500
500,444,1.046,1.266,1.134,19.701,50.759,790.141,881.834,956.023,2500
1000,44,0.281,0.436,0.377,9.511,105.141,2295.559,2652.520,3558.719,5000
